"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Ford C-MAX","12 900","C max benzyna z gazem","167 000 km","2007","1 596 cm3","Benzyna+LPG","Aleksandria","(Śląskie)","Do negocjacji"
"Opel Insignia 2.0","19 900","skóra**climatronic**alufelgi**relingi","224 000 km","2010","1 956 cm3","Diesel","Łódź","(Łódzkie)",""
"Volkswagen Golf","19 900","2010r Klimatronic Navi Android Alu Serwisowany Opłacony Super Stan!!!","178 562 km","2010","1 598 cm3","Diesel","Szamotuły","(Wielkopolskie)",""
"Ford Mondeo 2.0","44 000","Ford Mondeo 2.0 TDCi 19 cali Okazja!!!","219 000 km","2015","1 997 cm3","Diesel","Kłodzko","(Dolnośląskie)","Do negocjacji"
"Ford C-MAX","12 900","C max benzyna z gazem","167 000 km","2007","1 596 cm3","Benzyna+LPG","Aleksandria","(Śląskie)","Do negocjacji"
"Opel Insignia 2.0","19 900","skóra**climatronic**alufelgi**relingi","224 000 km","2010","1 956 cm3","Diesel","Łódź","(Łódzkie)",""
"Citroën Berlingo 1.6","49 000","Citroen Berlingo Multispace 2018 BOGATA WERSJA","57 000 km","2018","1 560 cm3","Diesel","Radom","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Opel Zafira","24 900","Zadbany 7 mio osobowy Gwarancja przebiegu","175 000 km","2012","1 598 cm3","Benzyna","Zgierz","(Łódzkie)",""
"Honda HR-V 1.5","62 800","1,5 130KM / Stan Idealny / Tylko 40.549km / Gwarancja /","40 549 km","2017","1 498 cm3","Benzyna","Pszów","(Śląskie)","Do negocjacji"
"Audi Q5","206 000","2.0 40TDI Quattro (190KM) | SLINE +Pakiet Comfort + Pakiet Technology","1 km","2018","1 968 cm3","Diesel","Chorzów","(Śląskie)","Faktura VAT"
"Toyota Yaris III","47 900","1.5 Premium, krajowa, bezwypadkowa, stan jak nowy, fabryczna gwarancja","36 000 km","2018","1 496 cm3","Benzyna","Rybnik","(Śląskie)","Faktura VAT"
"Jeep Renegade 1.0","86 900","Renegade 120 Limited Navi, Ledy,Radar","1 km","2019","999 cm3","Benzyna","Żory","(Śląskie)","Faktura VAT"
"Audi A6","10 900","","280 085 km","2007","2 698 cm3","Diesel","Czerniewice","(Łódzkie)",""
"Škoda Octavia","68 900","1,6TDI 115KM Amazing Climatronic Tempomat Bluetooth SmartLink FVAT","29 900 km","2019","1 600 cm3","Diesel","Toruń","(Kujawsko-pomorskie)","Faktura VAT"
"Toyota Aygo","39 900","1.0 VVTi 68KM X-PLAY STYLE CONNECT, salon Polska, gwarancja, FV23%","10 876 km","2015","998 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Peugeot 508","44 900","2.0 D Allure Panorama Full Led Kamera Gwarancja Zarejestrowany Płock","163 427 km","2015","2 000 cm3","Diesel","Płock","(Mazowieckie)",""
"Suzuki Jimny 1.3","29 000","Suzuki Jimny","66 340 km","2008","1 328 cm3","Benzyna","Gliwice","(Śląskie)","Do negocjacji"
"BMW Seria 5 525d","9 600","E39 2,5 common rail 2001r AUTOMAT .KLIMA/NAVI/DVD","345 200 km","2001","2 497 cm3","Diesel","Zduńska Wola","(Łódzkie)","Do negocjacji"
"Lexus RX 450h","96 900","450h AWD Prestige, salon Polska, bezwypadkowy Serwis ASO Kamera HUD","108 000 km","2012","3 456 cm3","Hybryda","Ząbki","(Mazowieckie)",""
"Volkswagen Passat 1.8","33 999","Led, bi ksenon, Navi, Kamera Ideał z Niemiec","102 000 km","2011","1 798 cm3","Benzyna","Swarzędz","(Wielkopolskie)","Do negocjacji"
"Peugeot 208","72 900","allure PREMIERE+ *okazja * samochód DEMONSTRACYJNY","1 000 km","2019","1 199 cm3","Benzyna","Kalisz","(Wielkopolskie)","Faktura VAT"
"Kia Cerato 1.6","6 400","1,6 benzynka tylko 87 tyś km ! klima","87 500 km","2005","1 599 cm3","Benzyna","Stargard Szczeciński","(Zachodniopomorskie)","Do negocjacji"
"Jaguar XF","26 999","2.7 204KM 2009 Xenon/Skora/Wentylacja/Navi/BowerWili/Pamięci FULL FULL","279 000 km","2009","2 700 cm3","Diesel","Kielce","(Świętokrzyskie)",""
"Audi Q5 3.0","71 900","Audi Q5 2013 Lift 3.0T Quattro Biała","200 600 km","2013","2 995 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Peugeot 206 1.6","3 500","Peugeot 206 benzyna 2001 1.6 16V 110 KM","140 650 km","2001","1 587 cm3","Benzyna","Mińsk Mazowiecki","(Mazowieckie)","Do negocjacji"
"Dodge RAM 1500","66 900","5.7 hemi 4x4 laramie dluga kabina paka pneumatyka fv 23%","1 850 km","2018","5 654 cm3","Benzyna","Człuchów","(Pomorskie)","Faktura VAT"
"Honda HR-V II","65 500","1.5 130KM Executive,grzane fotele, I właściciel, 23tys km przebieg","23 000 km","2016","1 498 cm3","Benzyna","Piła","(Wielkopolskie)","Do negocjacji"
"Mercedes-Benz ML 280","10 900","280 CDI","335 499 km","2006","2 987 cm3","Diesel","Czerniewice","(Łódzkie)",""
"Chrysler Pacifica 3.5","9 000","Chrysler Pacifica Touring","300 000 km","2005","3 518 cm3","Benzyna+LPG","Kochcice","(Śląskie)",""
"Citroën Berlingo","60 990","1.6 VTi XTR 120 Benzyna/ Multispace / GWARANCJA / SalonPL / FV23/","24 141 km","2018","1 598 cm3","Benzyna","Stalowa Wola","(Podkarpackie)","Do negocjacji, Faktura VAT"
"Ford Grand C-MAX","25 700","Navi 7osobowy Klimatronik Pdc Podgrze.Przednia Szyba Niemcy","190 594 km","2011","1 600 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Škoda Octavia","14 000","*Skoda Octavia 1.6 Mpi* 176tys. Przebieg potwierdzony.","176 000 km","2005","1 600 cm3","Benzyna","Gorczenica","(Kujawsko-pomorskie)",""
"Volkswagen Polo 1.2","6 500","Volkswagen POLO 1.2 Benzyna + LPG 2004r.","230 000 km","2004","1 198 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)","Do negocjacji"
"Toyota Yaris","15 900","","130 000 km","2008","1 000 cm3","Benzyna","Bydgoszcz","(Kujawsko-pomorskie)",""
"Škoda Octavia","14 000","*Skoda Octavia 1.6 Mpi* 176tys. Przebieg potwierdzony.","176 000 km","2005","1 600 cm3","Benzyna","Gorczenica","(Kujawsko-pomorskie)",""
"Volkswagen Polo 1.2","6 500","Volkswagen POLO 1.2 Benzyna + LPG 2004r.","230 000 km","2004","1 198 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)","Do negocjacji"
"Toyota Yaris","15 900","","130 000 km","2008","1 000 cm3","Benzyna","Bydgoszcz","(Kujawsko-pomorskie)",""
"Mazda 3","36 500","Automat, Nawigacja, Klimatyzacja, Kamera cofania, 42000 tyś km !!!","44 200 km","2017","1 998 cm3","Benzyna","Wrocław","(Dolnośląskie)",""
"Volvo XC 40","159 900","XC 40 D3 Inscription aut","16 400 km","2019","1 969 cm3","Diesel","Warszawa","(Mazowieckie)","Faktura VAT"
"Škoda Yeti 2.0","14 990","","362 408 km","2010","1 968 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Audi A3","24 700","Sportback 105KM Skóry Klimatronik Lift Alu Serwis Tempomat Niemcy","242 155 km","2009","1 900 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Chrysler Town & Country 3.6","59 700","Automat, Touring, DVD, Skórzana tapicerka,Niski przebieg","55 825 km","2014","3 605 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Volvo V70 2.0","19 100","2,0 po OPŁATACH Top Stan+nowe OPONY","275 432 km","2008","1 999 cm3","Benzyna","Góra Kalwaria","(Mazowieckie)","Do negocjacji"
"Kia Ceed","25 700","Klima Alu Isofixy Komputer Aux Niemcy","165 815 km","2013","1 400 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Škoda Yeti","29 900","1,6TDI Navi Climatronic Tempomat Gwarantowane 125000 km !!!","125 000 km","2012","1 598 cm3","Diesel","Zgierz","(Łódzkie)","Do negocjacji"
"Volvo V40","34 900","1 rok gwarancji VIP GWARANT","217 373 km","2015","1 600 cm3","Diesel","Rokocin","(Pomorskie)","Do negocjacji, Faktura VAT"
"Volvo S80 2.4","5 900","Volvo S80 2.4 Benz. 2000r.","262 700 km","2000","2 435 cm3","Benzyna","Lubin","(Dolnośląskie)","Do negocjacji"
"Volkswagen Passat","17 900","Bi-Xenon Navi Welur Sensory Pdc Tempomat Podgrze.Fotele Niemcy","274 776 km","2009","2 000 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Ford Transit","50 900","9osobowy Klima Podgrze.Przednia Szyba Tempomat Nawiewy Dach Niemcy","130 622 km","2015","2 200 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Volkswagen Polo","6 000","","243 000 km","2002","1 422 cm3","Diesel","Limanowa","(Małopolskie)","Do negocjacji"
"Škoda Fabia 1.2","13 300","Ładna Fabia 1.2 benzyna super stan serwisowana","110 800 km","2010","1 198 cm3","Benzyna","Zduńska Wola","(Łódzkie)",""
"BMW Seria 3","22 900","Navi Skóry Xenon Webasto El.Fotele MMI Klimatronik Serwis Niemcy","299 288 km","2008","2 000 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Fiat Panda II","6 900","1.2 60Km benzyna,wspomaganie CITY","189 800 km","2007","1 242 cm3","Benzyna","Piła","(Wielkopolskie)","Do negocjacji"
"Nissan Qashqai","75 900","N Connecta, X Tronic, 1.2 115 KM + Look pack (dach panoramiczny i LED)","55 988 km","2018","1 197 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Opel Vivaro","22 450","9 os. Gaz","299 000 km","2008","1 998 cm3","Benzyna+LPG","Czerwonak","(Wielkopolskie)","Do negocjacji, Faktura VAT"
"Jeep Cherokee","39 900","2.2 CRD 185 Longitude AWD","58 319 km","2016","2 184 cm3","Diesel","Czerniewice","(Łódzkie)",""
"Ford Ranger","116 850","3.2 Diesel Wildtrack","85 148 km","2017","3 196 cm3","Diesel","Bielsko-Biała","(Śląskie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"BMW Seria 7","34 900","367KM Skóry Komforty Wentyle El.Klapa Szyberdach Xenon Navi Niemcy","206 965 km","2005","4 800 cm3","Benzyna","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Volvo V40","74 900","V40 CC T3 Drive-E Ocean Race aut","71 250 km","2016","1 498 cm3","Benzyna","Warszawa","(Mazowieckie)",""
"Citroën Berlingo II","8 999","MultiSpace 1,6l 110KM / Klimatyzacja / 5 Drzwi / Serwisowany","204 300 km","2005","1 587 cm3","Benzyna","Nowiny","(Pomorskie)",""
"BMW X3 E83","23 900","2006 Rok # 2.0D 150KM # M Pakiet # z Niemiec opłacona","220 000 km","2006","2 000 cm3","Diesel","Pisz","(Warmińsko-mazurskie)","Do negocjacji, Faktura VAT"
"Volkswagen Tiguan 2.0","54 900","CUP 2.0 TDI 140KM Gwarancja Asyst. Parkowania Hak","87 200 km","2014","1 968 cm3","Diesel","Zielona Góra","(Lubuskie)",""
"Audi A4","8 500","","335 000 km","2004","1 897 cm3","Diesel","Górowo Iławeckie","(Warmińsko-mazurskie)","Do negocjacji"
"Nissan Qashqai 1.5","25 900","1.5dci Panorama Xenon Navi Keyless Go","240 000 km","2010","1 461 cm3","Diesel","Łukta","(Warmińsko-mazurskie)","Do negocjacji"
"Kia Sportage","16 900","140KM Pół Skóry Klimatronik Alu Tempomat Niemcy","202 337 km","2007","2 000 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"BMW Seria 5","41 900","4.8 v8 367 KM wydech Remus","144 000 km","2008","4 799 cm3","Benzyna","Lublin","(Lubelskie)",""
"BMW X3 E83","23 900","2006 Rok # 2.0D 150KM # M Pakiet # z Niemiec opłacona","220 000 km","2006","2 000 cm3","Diesel","Pisz","(Warmińsko-mazurskie)","Do negocjacji, Faktura VAT"
"Volkswagen Tiguan 2.0","54 900","CUP 2.0 TDI 140KM Gwarancja Asyst. Parkowania Hak","87 200 km","2014","1 968 cm3","Diesel","Zielona Góra","(Lubuskie)",""
"Nissan Qashqai 1.5","25 900","1.5dci Panorama Xenon Navi Keyless Go","240 000 km","2010","1 461 cm3","Diesel","Łukta","(Warmińsko-mazurskie)","Do negocjacji"
"Audi A4","8 500","","335 000 km","2004","1 897 cm3","Diesel","Górowo Iławeckie","(Warmińsko-mazurskie)","Do negocjacji"
"Kia Sportage","16 900","140KM Pół Skóry Klimatronik Alu Tempomat Niemcy","202 337 km","2007","2 000 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"BMW Seria 5","41 900","4.8 v8 367 KM wydech Remus","144 000 km","2008","4 799 cm3","Benzyna","Lublin","(Lubelskie)",""
"Kia Sorento","16 900","170KM Lift 4x4 Skóry Klimatronik Alu Isofixy Pdc Niemcy","206 578 km","2006","2 500 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Audi A4","55 300","Audi A4 S line virtual cockpit","30 000 km","2018","1 998 cm3","Benzyna","Olszanica","(Podkarpackie)","Do negocjacji"
"Opel Insignia 1.6","35 900","1,6 CDTI 136KM, Salon Polska, Jasny Środek, Bezwypadkowy, Gwarancja","149 186 km","2015","1 598 cm3","Diesel","Starowa Góra","(Łódzkie)","Faktura VAT"
"Škoda Kodiaq","124 900","Od dealera! Niski przebieg! Aktywny tempomat, lane asisst, martwe pole","3 536 km","2019","1 498 cm3","Benzyna","Kraków","(Małopolskie)","Faktura VAT"
"Opel Astra","15 900","90KM Klima Alu Isofixy Lift SELECTION Niemcy","155 049 km","2009","1 400 cm3","Benzyna","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Ford C-MAX","32 900","Super Stan, Serwis ASO","139 641 km","2013","999 cm3","Benzyna","Iława","(Warmińsko-mazurskie)","Do negocjacji"
"Nissan Qashqai","21 900","2.0 DCi 140 KM 6B Klimatronik PDC Niemcy ! Oryginał Lakier i Przebieg","219 000 km","2008","2 000 cm3","Diesel","Radom","(Mazowieckie)",""
"Volvo XC 90","195 000","Volvo XC90 D5 AWD 235KM R-Design","63 500 km","2017","1 969 cm3","Diesel","Częstochowa","(Śląskie)","Faktura VAT"
"Peugeot 206 1.4","6 500","1.4 75km benzyna , przebieg 114km,bardzo ładny","114 000 km","2008","1 360 cm3","Benzyna","Piła","(Wielkopolskie)","Do negocjacji"
"Volkswagen Golf","72 700","1.5 TSI 130 KM Comfortline Dealer Volkswagen","39 822 km","2019","1 500 cm3","Benzyna","Opole","(Opolskie)","Faktura VAT"
"Hyundai Santa Fe","12 900","146KM Skóry Klimatronik Tempomat Podgrze.fotele Isofixy Niemcy","219 239 km","2005","2 400 cm3","Benzyna","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"BMW X7","399 900","xDrive 40i #zostanwdomu a my dostarczymy Twoje nowe BMW","10 000 km","2019","2 998 cm3","Benzyna","Falenty","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Volkswagen Golf","72 700","1.5 TSI 130 KM Comfortline Dealer Volkswagen","20 800 km","2019","1 500 cm3","Benzyna","Opole","(Opolskie)","Faktura VAT"
"Mercedes-Benz Klasa B","49 900","180 fv23% hak holowniczy","91 500 km","2013","1 595 cm3","Benzyna","Poznań","(Wielkopolskie)","Faktura VAT"
"Opel Antara","36 900","163KM Skóry Bi-Xenon Navi COSMO Chromy Pdc 4x4 Lift Niemcy","117 023 km","2011","2 200 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Audi A3","16 500","AUDI a3 8p Sportback 2007r","247 000 km","2007","2 000 cm3","Diesel","Rogóźno","(Kujawsko-pomorskie)","Do negocjacji"
"Volkswagen Transporter","8 900","BRYGADÓWKA 9 osobowa!! 1,9 TD model 2000r DŁUGIE OPŁATY!!","250 000 km","2000","1 900 cm3","Diesel","Kraków","(Małopolskie)",""
"Volkswagen Passat 1.8T","11 900","1.8t 150KM Stan b.dobry bez rdzy pełny serwis z Niemiec Po Opłatach","172 355 km","2004","1 781 cm3","Benzyna","Częstochowa","(Śląskie)","Do negocjacji"
"Hyundai Kona 1.6","112 900","KONA Hybrid PREMIUM 2019 Demo","700 km","2019","1 580 cm3","Hybryda","Kielce","(Świętokrzyskie)","Faktura VAT"
"Kia Sportage 1.6","43 900","Kia Rybnik,1.6 GDI 135KM,Climatronic,Bezwypadkowa,Serwis ASO do końca!","184 446 km","2011","1 591 cm3","Benzyna","Rybnik","(Śląskie)","Do negocjacji"
"Kia Rio","29 900","LPG Prywatnie","146 000 km","2014","1 396 cm3","Benzyna+LPG","Wadowice","(Małopolskie)",""
"Hyundai I30","58 000","Classic Plus - Pakiet Business 1.4 MPI 100KM","12 704 km","2019","1 368 cm3","Benzyna","Zielona Góra","(Lubuskie)","Faktura VAT"
"Nissan Qashqai 1.5","33 900","1,5 DCi kamera keyless panorama!","226 000 km","2013","1 461 cm3","Diesel","Maków Mazowiecki","(Mazowieckie)",""
"Citroën C5 2.0","23 900","2.0 HDI 136 PS LED Navi Skóra Masaż Rotety PDC El.Klapa Tylko 140 T/KM","140 377 km","2008","1 997 cm3","Diesel","Morzyczyn","(Zachodniopomorskie)",""
"BMW X1 xDrive18d","57 810","samochód osobowy","79 615 km","2013","1 995 cm3","Diesel","Szczecin","(Zachodniopomorskie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Opel Astra","4 999","III * 1.7 CDTi * Sprawna KLIMATYZACJA * Ekonomiczny * Nowy Model *2005","284 000 km","2005","1 686 cm3","Diesel","Katowice","(Śląskie)",""
"Volvo XC 60","110 000","2.4 D5 AWD R Dezigne Bezwypadkowy Niemalowany","107 000 km","2016","2 400 cm3","Diesel","Chechło Pierwsze","(Łódzkie)","Do negocjacji"
"Ford C-MAX","2 500","Ford Focus C max","271 667 km","2006","1 598 cm3","Diesel","Warszawa","(Mazowieckie)",""
"Toyota Corolla","63 900","1.6 Comfort VAT23%, krajowy, serwisowany w ASO.","26 631 km","2018","1 598 cm3","Benzyna","Chorzów","(Śląskie)","Faktura VAT"
"Mercedes-Benz Klasa C 180","52 900","Coupe* Salon PL* AMG* Panorama* Automat* ASO* Bezwypadek* JAK NOWY","161 671 km","2013","1 595 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Kia Ceed 1.6","25 900","F a VAT, Polski salon, Pełen serwis, klimatronik","160 509 km","2015","1 582 cm3","Diesel","Myślenice","(Małopolskie)","Do negocjacji, Faktura VAT"
"Škoda Fabia 2.0","4 950","2,0 Benzyna Fabia Kombi klima Parktronik podgrzewane fotele","215 000 km","2003","1 984 cm3","Benzyna","Stargard Szczeciński","(Zachodniopomorskie)","Do negocjacji"
"Porsche Panamera","529 000","Diesel 4s","3 892 km","2018","3 956 cm3","Diesel","Olsztyn","(Warmińsko-mazurskie)","Faktura VAT"
"Volkswagen Golf V","15 500","Volkswagen Golf 1.4 TSI 140km 6 Biegów","176 000 km","2007","1 390 cm3","Benzyna","Raszyn","(Mazowieckie)",""
"Volkswagen Golf","87 900","Wyprzedaż ! Variant Comfortline 1.5 TSI BlueMotion 130 KM ! DEMO","11 014 km","2019","1 498 cm3","Benzyna","Zgłobice","(Małopolskie)","Faktura VAT"
"Opel Insignia 2.0","36 990","","116 270 km","2013","1 956 cm3","Diesel","Paniówki","(Śląskie)","Do negocjacji"
"Mazda 6","98 900","SDN 2.0L Skyactiv-G 165KM 6AT SkyEnergy","21 315 km","2018","1 998 cm3","Benzyna","Katowice","(Śląskie)","Faktura VAT"
"Fiat 500 500S","38 000","Fiat 500S 1,2 Polski Salon","15 385 km","2016","1 242 cm3","Benzyna","Bujaków","(Śląskie)","Do negocjacji"
"Ford Fiesta","3 600","MK6 2002r. 1.6 benzyna sprawny bez wkładu finansowego","280 000 km","2002","1 600 cm3","Benzyna","Bochnia","(Małopolskie)","Do negocjacji"
"Honda Civic 1.8","32 500","CIVIC 1,8 salon Polska I własciciel","126 000 km","2011","1 799 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Fiat Bravo 1.9","14 500","Fiat Bravo 2 1,9 JTD 150km zadbana, prywatna wersja sport bezwypadkowa","186 000 km","2007","1 910 cm3","Diesel","Chybie","(Śląskie)",""
"Nissan Qashqai 1.6","37 000","Nissan Qashqai 1.6","122 000 km","2011","1 598 cm3","Benzyna","Bydgoszcz","(Kujawsko-pomorskie)",""
"Volkswagen Tiguan 1.4","43 900","1,4 TSI 160KM * Salon PL /Serwis ASO * 2 kpl ALU *OKAZJA","40 800 km","2014","1 390 cm3","Benzyna","Będzin","(Śląskie)","Faktura VAT"
"Fiat Panda","11 900","Klimatyzacja, serwisowany, bezwypadkowy, opłacony, I właściciel","97 000 km","2009","1 242 cm3","Benzyna","Tarnowskie Góry","(Śląskie)","Do negocjacji"
"Seat Leon 1.2","54 900","Seat Leon 1.2 TSI Style 110KM, Serwis ASO, 1 Właściciel, Gwarancja","52 104 km","2018","1 197 cm3","Benzyna","Dąbrowa Górnicza","(Śląskie)","Do negocjacji, Faktura VAT"
"Peugeot 207","6 500","Renault Clio III 1.5 DCi VAT 1a uszkodzony silnik ! Pali jeździ !","303 000 km","2008","1 500 cm3","Diesel","Chrzanów","(Małopolskie)","Do negocjacji, Faktura VAT"
"Citroën C4","29 900","1.6VTI Exclusive XENON NAVI 2013_120KM","113 000 km","2013","1 598 cm3","Benzyna","Mrągowo","(Warmińsko-mazurskie)","Do negocjacji"
"Fiat Punto 1.2","599","Fiat punto II Benzyna+LPG","152 000 km","2003","1 242 cm3","Benzyna+LPG","Bielsko-Biała","(Śląskie)",""
"Opel Meriva","22 900","bezwypadkowa, z gwarancją","109 000 km","2010","1 364 cm3","Benzyna","Rybnik","(Śląskie)",""
"Opel Astra IV","26 999","1.6BENZ 115KM! Bezwypadkowa ! Przebieg tylko 79.000km Opłacona !","79 000 km","2010","1 598 cm3","Benzyna","Kościerzyna-Wybudowanie","(Pomorskie)",""
"Ford Focus","32 900","1.0 Benzyna Klima Kamera Super Stan Gwarancja w Cenie Auta","77 300 km","2016","999 cm3","Benzyna","Wągrowiec","(Wielkopolskie)","Do negocjacji"
"Audi Q3","92 900","Audi Q3 1.4 TFSI S tronic 150KM, SalonPL ASO","25 597 km","2017","1 400 cm3","Benzyna","Wysogotowo","(Wielkopolskie)","Faktura VAT"
"Citroën C1","5 900","1.2 VTi","26 724 km","2017","1 199 cm3","Benzyna","Czerniewice","(Łódzkie)",""
"Hyundai i40","44 999","COMFORT 1.6 GDI 135 KM Salon Polska","40 796 km","2015","1 591 cm3","Benzyna","Gdańsk","(Pomorskie)","Do negocjacji"
"Citroën C2 1.4","4 900","Sprzedam Citroena C2 1.4 HDI","164 780 km","2006","1 398 cm3","Diesel","Nowe Grabie","(Mazowieckie)",""
"BMW Seria 1","57 400","M Pakiet, xenon, navi, serwisowany w ASO BMW","72 000 km","2016","1 995 cm3","Diesel","Ostrzeszów","(Wielkopolskie)",""
"Volkswagen Golf","4 999","1.6 16V 105KM * KLIMA * Aluski * Stan Super * 5 Drzwi * Okazja * 2001r","263 000 km","2001","1 598 cm3","Benzyna","Katowice","(Śląskie)",""
"Audi A1","10 400","1.6 tdi","160 000 km","2011","1 600 cm3","Diesel","Kaleń Mała","(Wielkopolskie)","Do negocjacji"
"Citroën C1","5 900","1.2 VTi","26 724 km","2017","1 199 cm3","Benzyna","Czerniewice","(Łódzkie)",""
"Hyundai i40","44 999","COMFORT 1.6 GDI 135 KM Salon Polska","40 796 km","2015","1 591 cm3","Benzyna","Gdańsk","(Pomorskie)","Do negocjacji"
"Citroën C2 1.4","4 900","Sprzedam Citroena C2 1.4 HDI","164 780 km","2006","1 398 cm3","Diesel","Nowe Grabie","(Mazowieckie)",""
"BMW Seria 1","57 400","M Pakiet, xenon, navi, serwisowany w ASO BMW","72 000 km","2016","1 995 cm3","Diesel","Ostrzeszów","(Wielkopolskie)",""
"Volkswagen Golf","4 999","1.6 16V 105KM * KLIMA * Aluski * Stan Super * 5 Drzwi * Okazja * 2001r","263 000 km","2001","1 598 cm3","Benzyna","Katowice","(Śląskie)",""
"Audi A1","10 400","1.6 tdi","160 000 km","2011","1 600 cm3","Diesel","Kaleń Mała","(Wielkopolskie)","Do negocjacji"
"Ford Kuga","58 900","nieprzyzwoicie piękna, 4x4, jak nowa MEGA OKAZJA !!!","90 000 km","2018","1 500 cm3","Benzyna","Opole","(Opolskie)","Do negocjacji, Faktura VAT"
"Volkswagen Tiguan 2.0","75 900","Volkswagen Tiguan R Line 2.0tsi 4MOTION, I właściciel, salon PL","81 000 km","2014","1 984 cm3","Benzyna","Koszalin","(Zachodniopomorskie)","Do negocjacji"
"Toyota Yaris 1.5","56 500","","12 100 km","2019","1 496 cm3","Benzyna","Kraków","(Małopolskie)","Faktura VAT"
"BMW 3GT","67 900","BMW 3GT 320d XDrive, salon Polska, bezwypadkowy, skóra, POLECAM!","118 000 km","2014","2 000 cm3","Diesel","Żywiec","(Śląskie)","Do negocjacji"
"Mercedes-Benz Klasa S W126","29 900","Super Stan Oryginalny przebieg","178 000 km","1986","2 960 cm3","Benzyna","Lesznowola","(Mazowieckie)",""
"Seat Ibiza","10 000","tylko 94 tys km, bezwypadkowa, klimatronic, po pełnym serwisie, PT+OC","93 300 km","2005","1 400 cm3","Benzyna","Szczecin","(Zachodniopomorskie)","Do negocjacji"
"Audi A3","12 900","1.9 tdi 105km sportback czarna","338 000 km","2005","1 900 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Toyota RAV4","10 900","","325 000 km","2001","2 000 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)",""
"Mercedes-Benz Klasa C","167 900","C200 4Matic Kombi Lift Comnd Night salon PL FV23%","3 700 km","2019","1 497 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"BMW Seria 5","5 999","2.0d * Klimatronik * Aluski * Skóra * Nowy Model * 2004r * Piękna","255 000 km","2004","1 951 cm3","Diesel","Katowice","(Śląskie)",""
"Škoda Octavia 1.6","72 900","1.6 TDI 115 KM Ambition // ASO od dealera ! FV23%","13 950 km","2019","1 598 cm3","Diesel","Leszno","(Wielkopolskie)","Faktura VAT"
"BMW X3 xDrive20d","169 900","xDrive M Sport F VAT 23% Tylko teraz ocena stanu tech online za darmo","115 800 km","2017","1 995 cm3","Diesel","Gdańsk","(Pomorskie)","Faktura VAT"
"Audi A4 Avant","7 490","Silnik 2.0 TFSI BGB 200KM Sprawna S LINE Quattro Anglik V5C z Anglii","160 000 km","2005","1 984 cm3","Benzyna","Sławsk","(Wielkopolskie)",""
"Toyota Auris","44 900","Touring sport 1.6 LPG, kamera Polecam !!!","180 000 km","2015","1 600 cm3","Benzyna+LPG","Teodorówka","(Mazowieckie)",""
"Peugeot 206 1.4","7 500","Peugeot 206","146 200 km","2008","1 360 cm3","Benzyna","Lublin","(Lubelskie)","Do negocjacji"
"Ford Ranger 2.2","51 900","2.2 TDCi Doppelkabine Limited","8 112 km","2019","2 198 cm3","Diesel","Czerniewice","(Łódzkie)",""
"Opel Vectra","8 300","Opel Vectra C 1,8 LPG","298 048 km","2003","1 796 cm3","Benzyna+LPG","Czerniejewo","(Wielkopolskie)","Do negocjacji"
"Audi A3 8L","13 900","1.8 T.,2003 r.,Quattro,webasto,sline,5 drzwi,felgi 18 cali,super stan!","209 500 km","2003","1 800 cm3","Benzyna","Elbląg","(Warmińsko-mazurskie)","Do negocjacji"
